Cluster, Size
1175,1
1183,1
1144,1
1162,1
1145,1
344,2
345,2
346,2
347,2
340,2
341,2
342,2
343,2
810,1
811,1
812,1
813,1
348,2
349,2
816,1
817,1
595,1
1149,1
719,1
718,1
717,1
716,1
715,1
714,1
713,1
712,1
711,1
710,1
915,1
914,1
606,1
917,1
594,1
736,1
916,1
1182,1
1061,1
911,1
1063,1
1062,1
1065,1
1064,1
619,1
910,1
913,1
298,3
299,3
296,3
297,3
294,3
295,3
292,3
293,3
290,3
291,3
591,1
590,1
593,1
592,1
199,5
198,5
597,1
596,1
195,5
194,5
197,5
196,5
191,5
190,5
193,5
192,5
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
738,1
1067,1
524,1
525,1
526,1
527,1
520,1
521,1
522,1
523,1
1014,1
1015,1
599,1
1017,1
528,1
529,1
994,1
1013,1
1025,1
449,2
448,2
443,2
442,2
441,2
440,2
447,2
446,2
445,2
444,2
108,9
109,9
1135,1
102,10
103,10
100,10
101,10
106,9
107,9
104,9
105,9
902,1
903,1
39,30
38,30
906,1
907,1
904,1
905,1
33,37
32,39
31,41
30,42
37,32
36,32
35,36
34,36
641,1
640,1
643,1
642,1
645,1
644,1
438,2
439,2
436,2
437,2
434,2
435,2
432,2
433,2
430,2
431,2
1156,1
1002,1
339,2
338,2
335,2
334,2
337,2
336,2
331,2
330,2
333,2
332,2
1120,1
744,1
1000,1
745,1
854,1
818,1
856,1
857,1
850,1
851,1
852,1
819,1
858,1
859,1
1081,1
748,1
6,250
1150,1
900,1
848,1
99,10
98,10
844,1
1085,1
91,11
90,11
93,11
92,11
95,11
94,11
97,11
96,11
814,1
1030,1
815,1
1098,1
1066,1
740,1
741,1
742,1
743,1
559,1
558,1
746,1
747,1
555,1
554,1
557,1
556,1
551,1
550,1
553,1
552,1
238,4
239,4
234,4
235,4
236,4
237,4
230,4
231,4
232,4
233,4
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
992,1
1,4878
614,1
146,7
147,7
144,7
145,7
142,7
143,7
140,7
141,7
612,1
613,1
610,1
611,1
616,1
617,1
148,7
149,6
1007,1
912,1
1139,1
1006,1
951,1
1005,1
