cluster, variable, length, count
3,core,small,257
3,core,not_small,3105
3,soft_core,small,67
3,soft_core,not_small,525
3,inter,small,223
3,inter,not_small,700
3,rare,small,4733
3,rare,not_small,6901
11,core,small,192
11,core,not_small,2266
11,soft_core,small,119
11,soft_core,not_small,1324
11,inter,small,197
11,inter,not_small,667
11,rare,small,3072
11,rare,not_small,4722
19,core,small,217
19,core,not_small,2488
19,soft_core,small,106
19,soft_core,not_small,1092
19,inter,small,190
19,inter,not_small,674
19,rare,small,1367
19,rare,not_small,3400
37,core,small,285
37,core,not_small,3237
37,soft_core,small,57
37,soft_core,not_small,510
37,inter,small,278
37,inter,not_small,947
37,rare,small,624
37,rare,not_small,1676
35,core,small,277
35,core,not_small,2799
35,soft_core,small,69
35,soft_core,not_small,594
35,inter,small,241
35,inter,not_small,941
35,rare,small,495
35,rare,not_small,837
2,core,small,276
2,core,not_small,3261
2,soft_core,small,79
2,soft_core,not_small,454
2,inter,small,143
2,inter,not_small,541
2,rare,small,4291
2,rare,not_small,7140
9,core,small,159
9,core,not_small,1675
9,soft_core,small,168
9,soft_core,not_small,1690
9,inter,small,372
9,inter,not_small,1232
9,rare,small,2437
9,rare,not_small,2615
17,core,small,189
17,core,not_small,2341
17,soft_core,small,115
17,soft_core,not_small,1243
17,inter,small,313
17,inter,not_small,1019
17,rare,small,1600
17,rare,not_small,2653
15,core,small,220
15,core,not_small,2459
15,soft_core,small,101
15,soft_core,not_small,1010
15,inter,small,424
15,inter,not_small,1398
15,rare,small,1703
15,rare,not_small,2623
22,core,small,205
22,core,not_small,2190
22,soft_core,small,115
22,soft_core,not_small,1132
22,inter,small,373
22,inter,not_small,1193
22,rare,small,1438
22,rare,not_small,2422
7,core,small,256
7,core,not_small,2740
7,soft_core,small,63
7,soft_core,not_small,861
7,inter,small,220
7,inter,not_small,823
7,rare,small,2751
7,rare,not_small,5565
34,core,small,243
34,core,not_small,2594
34,soft_core,small,85
34,soft_core,not_small,955
34,inter,small,318
34,inter,not_small,1062
34,rare,small,752
34,rare,not_small,1943
5,core,small,223
5,core,not_small,2700
5,soft_core,small,122
5,soft_core,not_small,1018
5,inter,small,377
5,inter,not_small,918
5,rare,small,2602
5,rare,not_small,4886
36,core,small,266
36,core,not_small,2826
36,soft_core,small,102
36,soft_core,not_small,705
36,inter,small,325
36,inter,not_small,1037
36,rare,small,743
36,rare,not_small,1152
24,core,small,198
24,core,not_small,2425
24,soft_core,small,90
24,soft_core,not_small,745
24,inter,small,330
24,inter,not_small,1194
24,rare,small,767
24,rare,not_small,1547
27,core,small,240
27,core,not_small,2830
27,soft_core,small,73
27,soft_core,not_small,729
27,inter,small,265
27,inter,not_small,712
27,rare,small,572
27,rare,not_small,1097
21,core,small,450
21,core,not_small,4040
21,soft_core,small,27
21,soft_core,not_small,84
21,inter,small,124
21,inter,not_small,369
21,rare,small,38
21,rare,not_small,59
14,core,small,292
14,core,not_small,3066
14,soft_core,small,106
14,soft_core,not_small,762
14,inter,small,272
14,inter,not_small,649
14,rare,small,1930
14,rare,not_small,2828
10,core,small,195
10,core,not_small,2061
10,soft_core,small,145
10,soft_core,not_small,1557
10,inter,small,279
10,inter,not_small,746
10,rare,small,2383
10,rare,not_small,3440
23,core,small,183
23,core,not_small,1899
23,soft_core,small,136
23,soft_core,not_small,1268
23,inter,small,295
23,inter,not_small,1145
23,rare,small,1263
23,rare,not_small,2081
25,core,small,210
25,core,not_small,2614
25,soft_core,small,106
25,soft_core,not_small,962
25,inter,small,241
25,inter,not_small,884
25,rare,small,1152
25,rare,not_small,2878
8,core,small,183
8,core,not_small,2056
8,soft_core,small,129
8,soft_core,not_small,1451
8,inter,small,416
8,inter,not_small,1286
8,rare,small,2607
8,rare,not_small,3195
38,core,small,261
38,core,not_small,2614
38,soft_core,small,104
38,soft_core,not_small,872
38,inter,small,270
38,inter,not_small,909
38,rare,small,1016
38,rare,not_small,1336
32,core,small,272
32,core,not_small,2937
32,soft_core,small,51
32,soft_core,not_small,558
32,inter,small,376
32,inter,not_small,1151
32,rare,small,640
32,rare,not_small,1087
13,core,small,251
13,core,not_small,3018
13,soft_core,small,65
13,soft_core,not_small,607
13,inter,small,240
13,inter,not_small,789
13,rare,small,1805
13,rare,not_small,3808
31,core,small,246
31,core,not_small,2540
31,soft_core,small,95
31,soft_core,not_small,1277
31,inter,small,264
31,inter,not_small,731
31,rare,small,1607
31,rare,not_small,1950
16,core,small,300
16,core,not_small,3193
16,soft_core,small,88
16,soft_core,not_small,586
16,inter,small,190
16,inter,not_small,590
16,rare,small,858
16,rare,not_small,1700
6,core,small,308
6,core,not_small,3560
6,soft_core,small,83
6,soft_core,not_small,369
6,inter,small,324
6,inter,not_small,680
6,rare,small,1774
6,rare,not_small,3583
39,core,small,325
39,core,not_small,3376
39,soft_core,small,47
39,soft_core,not_small,448
39,inter,small,211
39,inter,not_small,490
39,rare,small,660
39,rare,not_small,1233
1,core,small,221
1,core,not_small,2637
1,soft_core,small,160
1,soft_core,not_small,1024
1,inter,small,204
1,inter,not_small,550
1,rare,small,8203
