Cluster, Threshold, Gene_count, Decrease
3,100,11634,0
3,50.0,8502,31.32
3,60.0,8931,27.03
3,70.0,9350,22.84
3,80.0,9835,17.99
3,90.0,10687,9.47
11,100,7794,0
11,50.0,6187,16.07
11,60.0,6480,13.14
11,70.0,6720,10.74
11,80.0,6980,8.14
11,90.0,7384,4.1
19,100,4767,0
19,50.0,3846,9.21
19,60.0,4040,7.27
19,70.0,4188,5.79
19,80.0,4328,4.39
19,90.0,4513,2.54
37,100,2300,0
37,50.0,1843,4.57
37,60.0,1904,3.96
37,70.0,1964,3.36
37,80.0,2050,2.5
37,90.0,2170,1.3
35,100,1332,0
35,50.0,1222,1.1
35,60.0,1235,0.97
35,70.0,1258,0.74
35,80.0,1276,0.56
35,90.0,1304,0.28
2,100,11431,0
2,50.0,8425,30.06
2,60.0,8916,25.15
2,70.0,9308,21.23
2,80.0,9771,16.6
2,90.0,10559,8.72
9,100,5052,0
9,50.0,4406,6.46
9,60.0,4515,5.37
9,70.0,4592,4.6
9,80.0,4697,3.55
9,90.0,4877,1.75
17,100,4253,0
17,50.0,3406,8.47
17,60.0,3518,7.35
17,70.0,3640,6.13
17,80.0,3772,4.81
17,90.0,4003,2.5
15,100,4326,0
15,50.0,3559,7.67
15,60.0,3667,6.59
15,70.0,3795,5.31
15,80.0,3919,4.07
15,90.0,4115,2.11
22,100,3860,0
22,50.0,3161,6.99
22,60.0,3282,5.78
22,70.0,3384,4.76
22,80.0,3486,3.74
22,90.0,3659,2.01
7,100,8316,0
7,50.0,5821,24.95
7,60.0,6205,21.11
7,70.0,6528,17.88
7,80.0,6902,14.14
7,90.0,7551,7.65
34,100,2695,0
34,50.0,2236,4.59
34,60.0,2314,3.81
34,70.0,2386,3.09
34,80.0,2460,2.35
34,90.0,2572,1.23
5,100,7488,0
5,50.0,5611,18.77
5,60.0,5901,15.87
5,70.0,6140,13.48
5,80.0,6386,11.02
5,90.0,6882,6.06
36,100,1895,0
36,50.0,1660,2.35
36,60.0,1704,1.91
36,70.0,1733,1.62
36,80.0,1767,1.28
36,90.0,1839,0.56
24,100,2314,0
